,小市值100,沪深300,中证500,中证1000
2016-09-02,0.005093403680745071,-0.0003848161283419582,-0.0015424924187931177,-0.004320502674407534
2016-10-11,0.006359646090982628,-0.0013202435263957035,-0.00022917977392067357,-0.0027883191779086713
2016-11-02,0.0034604744676464266,-0.0002989580801676661,-0.0032707728759130417,-0.0037621570349209987
2016-12-02,0.0033188118507591104,0.0013690659126764926,0.002668602864343228,-0.0030408065273945795
2017-01-04,0.005991786744023123,-0.0006828596541257337,0.003127652233914202,0.0018654869345886005
2017-02-06,0.004181118159938501,-0.0007047741662692397,0.005613855566649062,0.003929282574600845
2017-03-02,-0.0010951294445494981,-0.0008118386784164988,0.0030924910658061133,0.000462369994231826
2017-04-06,0.006764631733980588,-0.0009928901151572411,0.00013842545958031582,0.0002771370977088794
2017-05-03,0.0046016380928802746,-0.0011853390981941825,0.001098211891057077,0.0011112693335136314
2017-06-02,0.010738833770698099,0.00022358802797084465,0.0028794235225512166,0.0036749918740152654
2017-07-04,0.006476492508741931,4.5755304087125026e-05,0.002247191435087448,0.005221442520561226
2017-08-02,0.007910135277706135,-0.0008113953167293575,0.002674006517712768,0.0015428556553302997
2017-09-04,0.006159800924805586,4.9532061834556274e-05,-0.00017485990696075593,0.0021436525120586136
2017-10-10,0.003640527723416463,0.0003078304167222212,0.00336162631820236,0.000847688093810417
2017-11-02,0.006640796995805873,-0.0016068645759659272,-0.0037630948342152193,-0.0031010886965867623
2017-12-04,0.00718070757501163,-0.0005989494790689109,0.0017340007833688276,0.002994774546764334
2018-01-03,0.0012831904291674377,-0.001331050390220967,-0.0015768277148447973,-0.002891633981577768
2018-02-02,0.005466635721720542,-0.001427645089600027,-0.0017054856949954011,-0.0031503179750520527
2018-03-02,0.0019191636224820188,-0.0015264589500119108,-0.001016168341600343,0.00222091934209645
